Function,Algorithm,Mean,StdDev,Rank
F11_CEC2014,SMA,3429.383438,590.6868589,12
F11_CEC2014,WOA,4002.892187,0.0,13
F1_CEC2017,FSRO_Original,26686616623.0,12847195359.0,9
F1_CEC2017,FSRO_Modified,105117.2806,30426.6564,1
F1_CEC2017,FSRO_Variant1,20533221165.0,8479627651.0,8
F1_CEC2017,FSRO_Variant2,132290.2514,36469.84107,2
F1_CEC2017,FSRO_Variant3,8594433289.0,6087028115.0,6
F1_CEC2017,FSRO_Variant4,31151641761.0,11633687386.0,13
F1_CEC2017,FSRO_Variant5,27796156117.0,8930253865.0,10
F1_CEC2017,DE,3486524704.0,2266683287.0,4
F1_CEC2017,GWO,9579483049.0,3033954736.0,7
F1_CEC2017,HHO,29975432516.0,3.81e-06,11
F1_CEC2017,MFO,5141509162.0,5890908658.0,5
F1_CEC2017,PSO,1567393112.0,2810969353.0,3
F1_CEC2017,SMA,32420963407.0,11831471147.0,14
F1_CEC2017,WOA,29975432516.0,3.81e-06,11
F2_CEC2017,FSRO_Original,51176.72776,28480.77543,9
F2_CEC2017,FSRO_Modified,200.1491642,0.041372408,1
F2_CEC2017,FSRO_Variant1,34463.98734,14606.83387,7
F2_CEC2017,FSRO_Variant2,200.2254075,0.056213559,2
F2_CEC2017,FSRO_Variant3,22250.46666,9937.312936,5
F2_CEC2017,FSRO_Variant4,134233.8181,550646.619,11
F2_CEC2017,FSRO_Variant5,78831.89213,59510.24116,10
F2_CEC2017,DE,12242.61795,7432.345861,4
F2_CEC2017,GWO,23237.43322,3124.109677,6
F2_CEC2017,HHO,4674966.047,9.31e-10,13
F2_CEC2017,MFO,39877.91641,26359.19054,8
F2_CEC2017,PSO,5433.352322,6753.033439,3
F2_CEC2017,SMA,868357.1421,2142798.88,12
F2_CEC2017,WOA,4674966.047,9.31e-10,13
F3_CEC2017,FSRO_Original,3732.908919,2732.286783,11
F3_CEC2017,FSRO_Modified,314.1307237,23.24760121,1
F3_CEC2017,FSRO_Variant1,1966.555826,1275.042826,8
F3_CEC2017,FSRO_Variant2,316.1473819,24.29276889,2
