Function,Algorithm,Mean,StdDev,Min,Max
F3_CEC2017,FSRO_Variant4,4175.4007043621,2483.389827930936,1335.186532972492,11157.0827371297
F3_CEC2017,FSRO_Variant5,3737.769266736758,1479.209791049297,1581.8320041141496,8689.97236185403
F3_CEC2017,DE,458.1809996519773,135.75226227361466,310.2983245438619,1042.6351704419023
F3_CEC2017,GWO,577.2895903177626,164.062343737192,540.8307900370742,1706.6101648969366
F3_CEC2017,HHO,2687.159916004712,4.547473508864641e-13,2687.159916004712,2687.159916004712
F3_CEC2017,MFO,1065.4256446501822,657.9218801569579,300.77563081491746,2897.17437834505
F3_CEC2017,PSO,423.90138071183793,138.1964533958786,302.420454490276,853.1051202296155
F3_CEC2017,SMA,4730.098686808192,2670.668523537671,1588.0165738726594,12728.856563457171
F3_CEC2017,WOA,2687.159916004712,4.547473508864641e-13,2687.159916004712,2687.159916004712
F4_CEC2017,FSRO_Original,32310.74377269462,11926.275295690884,11348.435968985312,60377.91496794458
F4_CEC2017,FSRO_Modified,470.8320433696941,16.71868854344029,443.56407099082105,505.7140365966582
F4_CEC2017,FSRO_Variant1,23108.480412750487,7620.696892079354,5835.1938877842695,37647.51442975155
F4_CEC2017,FSRO_Variant2,436.3106684862258,4.8121211607384495,425.256285883086,444.95632575943216
F4_CEC2017,FSRO_Variant3,9956.96194118115,5958.214713411432,1950.974347500784,32760.85988813564
F4_CEC2017,FSRO_Variant4,25880.687105371955,8710.593443932798,9486.91627417741,44738.286353528405
F4_CEC2017,FSRO_Variant5,30134.93572947077,7463.938224559799,13442.266547232217,44922.86994392248
F4_CEC2017,DE,4390.386990178933,3043.747682896167,525.6063720639877,17264.103035036977
F4_CEC2017,GWO,5077.085180338431,2457.234198338538,3442.81876395066,13296.69210166013
F4_CEC2017,HHO,21946.04040574052,3.637978807091713e-12,21946.04040574052,21946.04040574052
F4_CEC2017,MFO,6921.053547661049,6745.471653699996,463.67699985105446,37495.37496497839
F4_CEC2017,PSO,2125.997217435748,2219.0004570925807,471.63058669920497,10950.011063327254
F4_CEC2017,SMA,36084.97499870648,10138.086463082089,13430.53818968896,59730.05320935963
F4_CEC2017,WOA,21946.04040574052,3.637978807091713e-12,21946.04040574052,21946.04040574052
F5_CEC2017,FSRO_Original,500.0276171246335,0.0189326003740818,500.0022367957117,500.08736388989007
F5_CEC2017,FSRO_Modified,500.0000127018529,5.469376885161794e-05,500.0000000072405,500.0003461412569
F5_CEC2017,FSRO_Variant1,500.0043718259346,0.0045430935341329,500.0004487636652,500.0232267807194
F5_CEC2017,FSRO_Variant2,500.00009888455634,0.000561276073999,500.0000000030313,500.0039993047303
F5_CEC2017,FSRO_Variant3,500.00526253888734,0.0072050331728411,500.0000115843256,500.03351681448896
